id,latitude,longitude,crime_type,date,severity
1575,-12.086654,-77.047656,Agresión Sexual,2023-12-18 15:24:29.291+00,6
1576,-12.008245,-77.067641,Asalto,2024-06-07 15:24:29.291+00,1
1577,-12.029190,-77.006382,Asalto,2024-07-14 15:24:29.291+00,6
1578,-12.091506,-77.055726,Robo,2024-01-16 15:24:29.291+00,3
1579,-12.033514,-77.032187,Robo,2024-01-25 15:24:29.291+00,2
1580,-12.061688,-77.098385,Secuestro,2023-12-02 15:24:29.291+00,2
1581,-12.068087,-77.035747,Robo,2024-06-11 15:24:29.291+00,2
1582,-12.092487,-77.038490,Robo,2024-09-19 15:24:29.291+00,2
1583,-12.041041,-77.003581,Robo,2023-11-13 15:24:29.291+00,1
1584,-12.025378,-77.077348,Robo,2024-04-04 15:24:29.291+00,4
1585,-12.059441,-77.074309,Secuestro,2024-01-21 15:24:29.291+00,4
1586,-12.017811,-77.047028,Secuestro,2024-07-15 15:24:29.291+00,4
1587,-12.023292,-77.032884,Robo,2024-09-03 15:24:29.291+00,3
1588,-12.073961,-77.060521,Secuestro,2024-02-16 15:24:29.291+00,4
1589,-12.072708,-77.063739,Robo,2023-10-09 15:24:29.291+00,3
1590,-12.004609,-77.071693,Agresión Sexual,2024-08-23 15:24:29.291+00,10
1591,-12.068236,-77.036372,Robo,2024-01-04 15:24:29.291+00,1
1592,-12.093968,-77.016249,Asalto,2024-02-04 15:24:29.291+00,10
1593,-12.098666,-77.048262,Robo,2024-07-15 15:24:29.291+00,8
1594,-12.036289,-77.030343,Agresión Sexual,2024-05-03 15:24:29.291+00,8
1595,-12.059061,-77.058801,Robo,2024-06-25 15:24:29.291+00,2
1596,-12.071599,-77.000656,Homicidio,2023-11-19 15:24:29.291+00,10
1597,-12.073517,-77.067741,Robo,2023-11-18 15:24:29.291+00,2
1598,-12.008257,-77.011965,Secuestro,2024-08-20 15:24:29.291+00,1
1599,-12.004501,-77.056950,Agresión Sexual,2023-12-29 15:24:29.291+00,3
1600,-12.018809,-77.004796,Robo,2023-11-04 15:24:29.291+00,4
1601,-12.079971,-77.039803,Secuestro,2024-04-19 15:24:29.291+00,2
1602,-12.038667,-77.047839,Asalto,2024-01-23 15:24:29.291+00,9
1603,-12.031168,-77.067469,Agresión Sexual,2024-01-03 15:24:29.291+00,10
1604,-12.064049,-77.022604,Robo,2023-10-20 15:24:29.291+00,10
1605,-12.076020,-77.078700,Agresión Sexual,2024-07-29 15:24:29.291+00,6
1606,-12.028638,-77.070875,Robo,2024-08-11 15:24:29.291+00,2
1607,-12.035498,-77.023805,Agresión Sexual,2024-04-01 15:24:29.291+00,4
1608,-12.003186,-77.071710,Homicidio,2023-11-30 15:24:29.291+00,2
1609,-12.040342,-77.073053,Robo,2024-03-24 15:24:29.291+00,3
1610,-12.013764,-77.060542,Asalto,2024-01-01 15:24:29.291+00,8
1611,-12.092655,-77.052284,Robo,2023-10-21 15:24:29.291+00,8
1612,-12.005602,-77.034107,Robo,2023-10-16 15:24:29.291+00,6
1613,-12.043504,-77.092627,Asalto,2024-06-25 15:24:29.291+00,9
1614,-12.081063,-77.043933,Robo,2024-04-19 15:24:29.291+00,6
1615,-12.030457,-77.073102,Robo,2024-07-23 15:24:29.291+00,4
1616,-12.013046,-77.082583,Robo,2023-10-15 15:24:29.291+00,4
1617,-12.038420,-77.098018,Robo,2024-08-26 15:24:29.291+00,2
1618,-12.058364,-77.071681,Homicidio,2024-05-21 15:24:29.291+00,4
1619,-12.050634,-77.007572,Secuestro,2023-10-04 15:24:29.291+00,6
1620,-12.069259,-77.002392,Homicidio,2024-08-20 15:24:29.291+00,1
1621,-12.097593,-77.059456,Robo,2023-12-12 15:24:29.291+00,1
1622,-12.007929,-77.013282,Robo,2024-06-05 15:24:29.291+00,8
1623,-12.048230,-77.003470,Robo,2024-03-24 15:24:29.291+00,7
1624,-12.090490,-77.045113,Robo,2023-12-17 15:24:29.291+00,2
1625,-12.073353,-77.031816,Robo,2024-06-17 15:24:29.291+00,7
1626,-12.024447,-77.071235,Robo,2023-11-21 15:24:29.291+00,3
1627,-12.076539,-77.008217,Robo,2024-05-02 15:24:29.291+00,10
1628,-12.061083,-77.094128,Robo,2023-10-25 15:24:29.291+00,2
1629,-12.067722,-77.049175,Agresión Sexual,2024-05-25 15:24:29.291+00,4
1630,-12.020982,-77.064113,Robo,2024-01-07 15:24:29.291+00,2
1631,-12.028830,-77.064402,Robo,2024-06-05 15:24:29.291+00,9
1632,-12.050592,-77.057425,Agresión Sexual,2024-06-03 15:24:29.291+00,10
1633,-12.044942,-77.019935,Robo,2023-10-13 15:24:29.291+00,7
1634,-12.035225,-77.010778,Robo,2023-10-25 15:24:29.291+00,6
1635,-12.036336,-77.097504,Asalto,2024-05-06 15:24:29.291+00,8
1636,-12.027377,-77.007677,Agresión Sexual,2024-03-05 15:24:29.291+00,8
1637,-12.050636,-77.062951,Robo,2024-08-30 15:24:29.291+00,2
1638,-12.097646,-77.076703,Robo,2024-06-02 15:24:29.291+00,10
1639,-12.074491,-77.064297,Robo,2023-11-23 15:24:29.291+00,7
1640,-12.072000,-77.028526,Homicidio,2023-12-15 15:24:29.291+00,4
1641,-12.055894,-77.098017,Robo,2024-03-02 15:24:29.291+00,2
1642,-12.041761,-77.055324,Robo,2024-04-30 15:24:29.291+00,10
1643,-12.005194,-77.007493,Homicidio,2024-02-06 15:24:29.291+00,1
1644,-12.036461,-77.071773,Agresión Sexual,2024-09-05 15:24:29.291+00,9
1645,-12.059292,-77.009866,Agresión Sexual,2023-11-11 15:24:29.291+00,5
1646,-12.011296,-77.075449,Robo,2023-12-19 15:24:29.291+00,7
1647,-12.062196,-77.008269,Homicidio,2023-10-18 15:24:29.291+00,8
1648,-12.076539,-77.063405,Robo,2023-11-14 15:24:29.291+00,6
1649,-12.039008,-77.057855,Robo,2024-08-30 15:24:29.291+00,10
1650,-12.025831,-77.067413,Secuestro,2024-05-12 15:24:29.291+00,3
1651,-12.026651,-77.052370,Robo,2023-10-10 15:24:29.291+00,3
1652,-12.075166,-77.037528,Robo,2024-01-21 15:24:29.291+00,7
1653,-12.058435,-77.016854,Robo,2024-03-25 15:24:29.291+00,7
1654,-12.011898,-77.080311,Robo,2023-10-12 15:24:29.291+00,7
1655,-12.077261,-77.011756,Robo,2024-03-23 15:24:29.291+00,7
1656,-12.078902,-77.060049,Robo,2024-02-08 15:24:29.291+00,4
1657,-12.041157,-77.043059,Robo,2024-08-20 15:24:29.291+00,4
1658,-12.060316,-77.078945,Robo,2023-10-06 15:24:29.291+00,6
1659,-12.096476,-77.049930,Homicidio,2024-08-31 15:24:29.291+00,2
1660,-12.009647,-77.057095,Asalto,2024-05-23 15:24:29.291+00,4
1661,-12.097525,-77.016756,Robo,2024-09-15 15:24:29.291+00,4
1662,-12.005645,-77.048267,Robo,2024-07-28 15:24:29.291+00,1
1663,-12.069659,-77.070410,Homicidio,2023-11-17 15:24:29.291+00,1
1664,-12.015780,-77.089077,Homicidio,2024-05-30 15:24:29.291+00,9
1665,-12.026188,-77.066868,Robo,2023-12-02 15:24:29.291+00,5
1666,-12.077178,-77.053089,Robo,2024-05-16 15:24:29.291+00,10
1667,-12.004084,-77.096733,Secuestro,2024-03-15 15:24:29.291+00,8
1668,-12.087581,-77.069977,Agresión Sexual,2024-04-04 15:24:29.291+00,8
1669,-12.005416,-77.004468,Robo,2024-05-09 15:24:29.291+00,9
1670,-12.071845,-77.006675,Robo,2024-09-18 15:24:29.291+00,5
1671,-12.009888,-77.042750,Secuestro,2024-02-26 15:24:29.291+00,10
1672,-12.092138,-77.031695,Robo,2024-05-11 15:24:29.291+00,1
1673,-12.046994,-77.006095,Robo,2024-02-18 15:24:29.291+00,9
1674,-12.036260,-77.099228,Agresión Sexual,2024-04-29 15:24:29.291+00,7
1675,-12.077109,-77.044475,Homicidio,2024-04-21 15:24:29.291+00,4
1676,-12.017307,-77.086906,Robo,2024-02-25 15:24:29.291+00,2
1677,-12.020590,-77.095961,Robo,2024-07-10 15:24:29.291+00,5
1678,-12.049613,-77.013493,Robo,2024-07-09 15:24:29.291+00,5
1679,-12.080851,-77.021700,Asalto,2023-11-17 15:24:29.291+00,9
1680,-12.033067,-77.004494,Asalto,2024-04-06 15:24:29.291+00,8
1681,-12.037040,-77.038559,Agresión Sexual,2024-04-20 15:24:29.291+00,9
1682,-12.063392,-77.024396,Secuestro,2023-12-27 15:24:29.291+00,7
1683,-12.031981,-77.086897,Robo,2024-01-10 15:24:29.291+00,7
1684,-12.085965,-77.030584,Agresión Sexual,2024-03-23 15:24:29.291+00,4
1685,-12.075303,-77.099595,Robo,2024-05-30 15:24:29.291+00,4
1686,-12.009068,-77.060556,Agresión Sexual,2024-02-05 15:24:29.291+00,5
1687,-12.017653,-77.068085,Asalto,2024-04-12 15:24:29.291+00,5
1688,-12.025902,-77.020475,Robo,2023-10-28 15:24:29.291+00,5
1689,-12.032453,-77.060369,Robo,2024-01-25 15:24:29.291+00,4
1690,-12.053474,-77.009644,Asalto,2024-07-14 15:24:29.291+00,7
1691,-12.037393,-77.043910,Secuestro,2024-02-08 15:24:29.291+00,10
1692,-12.060704,-77.061560,Robo,2023-11-11 15:24:29.291+00,9
1693,-12.017447,-77.069610,Robo,2024-01-26 15:24:29.291+00,9
1694,-12.033198,-77.050129,Agresión Sexual,2024-08-24 15:24:29.291+00,2
1695,-12.076773,-77.060871,Homicidio,2024-05-01 15:24:29.291+00,9
1696,-12.010633,-77.008774,Secuestro,2024-02-04 15:24:29.291+00,7
1697,-12.013396,-77.000411,Robo,2023-10-22 15:24:29.291+00,3
1698,-12.095474,-77.020411,Robo,2024-01-10 15:24:29.291+00,6
1699,-12.031727,-77.042611,Agresión Sexual,2024-04-08 15:24:29.291+00,4
1700,-12.077921,-77.060146,Robo,2023-12-06 15:24:29.291+00,4
1701,-12.000060,-77.010370,Secuestro,2024-04-22 15:24:29.291+00,6
1702,-12.048678,-77.013376,Robo,2023-10-16 15:24:29.291+00,6
1703,-12.049305,-77.094492,Robo,2023-10-22 15:24:29.291+00,3
1704,-12.017760,-77.026054,Robo,2024-04-21 15:24:29.291+00,3
1705,-12.008454,-77.035454,Agresión Sexual,2024-06-09 15:24:29.291+00,6
1706,-12.087558,-77.059106,Agresión Sexual,2024-08-08 15:24:29.291+00,2
1707,-12.059211,-77.080447,Robo,2024-05-01 15:24:29.291+00,1
1708,-12.093750,-77.081385,Robo,2023-11-09 15:24:29.291+00,6
1709,-12.094989,-77.065954,Homicidio,2023-12-26 15:24:29.291+00,2
1710,-12.063621,-77.042230,Agresión Sexual,2024-02-05 15:24:29.291+00,3
1711,-12.016601,-77.039227,Robo,2024-06-16 15:24:29.291+00,3
1712,-12.044689,-77.000432,Asalto,2024-01-28 15:24:29.291+00,2
1713,-12.071563,-77.064950,Robo,2024-07-21 15:24:29.291+00,8
1714,-12.043664,-77.069702,Robo,2024-04-22 15:24:29.291+00,9
1715,-12.078947,-77.084478,Asalto,2024-02-26 15:24:29.291+00,10
1716,-12.054353,-77.071722,Homicidio,2024-03-21 15:24:29.291+00,9
1717,-12.012370,-77.066825,Agresión Sexual,2024-07-17 15:24:29.291+00,4
1718,-12.058690,-77.039412,Agresión Sexual,2024-03-03 15:24:29.291+00,9
1719,-12.032675,-77.015381,Agresión Sexual,2023-11-10 15:24:29.291+00,10
1720,-12.090135,-77.061070,Robo,2024-08-04 15:24:29.291+00,3
1721,-12.099326,-77.041228,Robo,2024-05-08 15:24:29.291+00,1
1722,-12.077378,-77.028890,Secuestro,2023-12-24 15:24:29.291+00,6
1723,-12.000576,-77.054989,Robo,2024-04-21 15:24:29.291+00,10
1724,-12.007857,-77.005351,Robo,2023-12-31 15:24:29.291+00,7
1725,-12.080679,-77.002316,Agresión Sexual,2024-07-16 15:24:29.291+00,4
1726,-12.098690,-77.026470,Robo,2024-01-17 15:24:29.291+00,7
1727,-12.080960,-77.082356,Robo,2024-02-13 15:24:29.291+00,4
1728,-12.061214,-77.092713,Asalto,2024-09-02 15:24:29.291+00,2
1729,-12.030598,-77.076091,Robo,2024-06-06 15:24:29.291+00,9
1730,-12.039340,-77.056089,Agresión Sexual,2023-11-20 15:24:29.291+00,6
1731,-12.079941,-77.018948,Agresión Sexual,2024-01-28 15:24:29.291+00,1
1732,-12.076624,-77.063425,Robo,2024-02-01 15:24:29.291+00,6
1733,-12.001526,-77.072012,Robo,2023-10-26 15:24:29.291+00,7
1734,-12.081250,-77.057493,Robo,2023-11-24 15:24:29.291+00,7
1735,-12.086666,-77.087641,Agresión Sexual,2024-05-21 15:24:29.291+00,5
1736,-12.000194,-77.079846,Agresión Sexual,2023-11-10 15:24:29.291+00,6
1737,-12.086900,-77.068535,Robo,2023-10-30 15:24:29.291+00,5
1738,-12.055824,-77.016904,Asalto,2023-11-18 15:24:29.291+00,3
1739,-12.044644,-77.094557,Asalto,2024-01-07 15:24:29.291+00,1
1740,-12.067567,-77.092609,Secuestro,2023-10-15 15:24:29.291+00,7
1741,-12.085594,-77.039266,Robo,2024-01-11 15:24:29.291+00,7
1742,-12.023890,-77.095276,Agresión Sexual,2024-04-18 15:24:29.291+00,5
1743,-12.044831,-77.081350,Secuestro,2024-06-23 15:24:29.291+00,4
1744,-12.021234,-77.038971,Homicidio,2023-11-29 15:24:29.291+00,4
1745,-12.097420,-77.049815,Homicidio,2023-12-04 15:24:29.291+00,6
1746,-12.008016,-77.031834,Robo,2024-05-05 15:24:29.291+00,5
1747,-12.062180,-77.026531,Robo,2024-05-13 15:24:29.291+00,6
1748,-12.058854,-77.018979,Agresión Sexual,2024-02-25 15:24:29.291+00,3
1749,-12.023379,-77.088912,Robo,2023-10-21 15:24:29.291+00,7
1750,-12.077597,-77.097566,Asalto,2023-11-09 15:24:29.291+00,2
1751,-12.040790,-77.050428,Robo,2023-12-24 15:24:29.291+00,7
1752,-12.068596,-77.034391,Homicidio,2023-12-08 15:24:29.291+00,5
1753,-12.054758,-77.096960,Secuestro,2024-03-28 15:24:29.291+00,10
1754,-12.061396,-77.073814,Secuestro,2023-10-17 15:24:29.291+00,6
1755,-12.025669,-77.043625,Agresión Sexual,2024-01-22 15:24:29.291+00,7
1756,-12.004282,-77.022533,Secuestro,2024-02-16 15:24:29.291+00,3
1757,-12.082714,-77.011612,Robo,2024-06-23 15:24:29.291+00,5
1758,-12.017205,-77.031674,Robo,2023-10-25 15:24:29.291+00,8
1759,-12.055772,-77.008894,Robo,2024-03-21 15:24:29.291+00,6
1760,-12.013800,-77.096585,Robo,2024-08-19 15:24:29.291+00,10
1761,-12.069784,-77.000810,Homicidio,2024-01-19 15:24:29.291+00,7
1762,-12.022712,-77.089700,Asalto,2024-07-07 15:24:29.291+00,10
1763,-12.084671,-77.083749,Robo,2024-08-15 15:24:29.291+00,2
1764,-12.016276,-77.095887,Robo,2024-08-31 15:24:29.291+00,2
1765,-12.058210,-77.045584,Secuestro,2023-11-08 15:24:29.291+00,1
1766,-12.001704,-77.088948,Agresión Sexual,2024-02-02 15:24:29.291+00,7
1767,-12.047453,-77.017303,Robo,2023-10-05 15:24:29.291+00,5
1768,-12.047902,-77.022998,Robo,2024-09-21 15:24:29.291+00,2
1769,-12.004662,-77.074033,Robo,2024-07-11 15:24:29.291+00,7
1770,-12.011160,-77.088721,Agresión Sexual,2024-07-01 15:24:29.291+00,8
1771,-12.016932,-77.000554,Homicidio,2024-04-05 15:24:29.291+00,10
1772,-12.000868,-77.078041,Robo,2024-07-16 15:24:29.291+00,4
1773,-12.072569,-77.017008,Robo,2024-08-15 15:24:29.291+00,8
1774,-12.007802,-77.041543,Robo,2023-12-23 15:24:29.291+00,2
1775,-12.053058,-77.045290,Secuestro,2024-08-13 15:24:29.291+00,1
1776,-12.034584,-77.043760,Asalto,2024-03-11 15:24:29.291+00,1
1777,-12.003052,-77.069979,Robo,2023-09-23 15:24:29.291+00,1
1778,-12.066238,-77.091632,Asalto,2024-04-22 15:24:29.291+00,10
1779,-12.022757,-77.016050,Secuestro,2023-11-01 15:24:29.291+00,2
1780,-12.043554,-77.064736,Robo,2024-01-17 15:24:29.291+00,4
1781,-12.064276,-77.076528,Robo,2024-02-10 15:24:29.291+00,10
1782,-12.032033,-77.088641,Robo,2024-04-18 15:24:29.291+00,8
1783,-12.001088,-77.062884,Robo,2024-03-25 15:24:29.291+00,2
1784,-12.085075,-77.032260,Agresión Sexual,2023-10-14 15:24:29.291+00,7
1785,-12.032478,-77.049492,Robo,2023-10-05 15:24:29.291+00,6
1786,-12.051789,-77.043809,Robo,2024-06-13 15:24:29.291+00,10
1787,-12.084939,-77.053343,Robo,2024-02-01 15:24:29.291+00,6
1788,-12.042347,-77.062755,Asalto,2024-03-19 15:24:29.291+00,4
1789,-12.063861,-77.060956,Homicidio,2024-04-25 15:24:29.291+00,6
1790,-12.037654,-77.004669,Asalto,2023-11-15 15:24:29.291+00,1
1791,-12.027854,-77.083531,Homicidio,2024-06-08 15:24:29.291+00,2
1792,-12.060589,-77.045804,Homicidio,2023-10-03 15:24:29.291+00,10
1793,-12.086290,-77.017368,Robo,2024-01-18 15:24:29.291+00,4
1794,-12.090146,-77.020390,Robo,2023-10-19 15:24:29.291+00,9
1795,-12.021290,-77.077255,Robo,2024-02-07 15:24:29.291+00,4
1796,-12.073338,-77.066939,Agresión Sexual,2023-12-06 15:24:29.291+00,3
1797,-12.009786,-77.077273,Asalto,2024-08-28 15:24:29.291+00,7
1798,-12.007517,-77.073343,Robo,2023-10-23 15:24:29.291+00,5
1799,-12.084732,-77.024823,Robo,2023-10-29 15:24:29.291+00,6
1800,-12.018127,-77.003667,Robo,2024-02-03 15:24:29.291+00,3
1801,-12.090904,-77.052691,Robo,2023-12-03 15:24:29.291+00,10
1802,-12.092643,-77.001613,Robo,2024-09-19 15:24:29.291+00,5
1803,-12.056813,-77.093854,Robo,2024-03-17 15:24:29.291+00,10
1804,-12.039515,-77.076120,Robo,2024-04-27 15:24:29.291+00,8
1805,-12.075834,-77.061911,Robo,2024-07-19 15:24:29.291+00,3
1806,-12.014316,-77.009822,Robo,2024-07-05 15:24:29.291+00,8
1807,-12.081164,-77.029299,Secuestro,2024-01-24 15:24:29.291+00,9
1808,-12.084985,-77.082859,Secuestro,2024-04-10 15:24:29.291+00,1
1809,-12.099554,-77.086913,Robo,2023-12-15 15:24:29.291+00,4
1810,-12.081557,-77.003954,Agresión Sexual,2024-02-07 15:24:29.291+00,9
1811,-12.019836,-77.077639,Robo,2023-12-04 15:24:29.291+00,1
1812,-12.084847,-77.088216,Asalto,2024-02-04 15:24:29.291+00,6
1813,-12.063517,-77.038378,Agresión Sexual,2024-01-07 15:24:29.291+00,6
1814,-12.010062,-77.016310,Robo,2024-04-07 15:24:29.291+00,7
1815,-12.016551,-77.064626,Robo,2024-05-17 15:24:29.291+00,7
1816,-12.025895,-77.070008,Homicidio,2023-12-16 15:24:29.291+00,2
1817,-12.096315,-77.037588,Asalto,2024-09-03 15:24:29.291+00,2
1818,-12.002639,-77.000557,Robo,2023-10-02 15:24:29.291+00,1
1819,-12.083777,-77.015345,Homicidio,2024-09-16 15:24:29.291+00,4
1820,-12.069034,-77.035885,Robo,2024-09-09 15:24:29.291+00,5
1821,-12.003385,-77.051107,Robo,2023-11-08 15:24:29.291+00,6
1822,-12.066264,-77.044797,Robo,2024-04-28 15:24:29.291+00,5
1823,-12.064766,-77.041401,Secuestro,2023-11-26 15:24:29.291+00,2
1824,-12.008759,-77.053373,Robo,2023-10-09 15:24:29.291+00,9
1825,-12.001600,-77.004007,Robo,2023-12-28 15:24:29.291+00,3
1826,-12.014571,-77.035678,Robo,2024-04-25 15:24:29.291+00,8
1827,-12.081316,-77.065997,Secuestro,2024-05-06 15:24:29.291+00,10
1828,-12.080289,-77.007822,Robo,2024-07-03 15:24:29.291+00,9
1829,-12.055168,-77.014618,Robo,2024-02-13 15:24:29.291+00,8
1830,-12.007961,-77.014374,Robo,2024-08-05 15:24:29.291+00,8
1831,-12.099154,-77.089016,Robo,2023-10-05 15:24:29.291+00,9
1832,-12.063520,-77.024625,Asalto,2024-06-13 15:24:29.291+00,3
1833,-12.085309,-77.097254,Homicidio,2024-04-22 15:24:29.291+00,1
1834,-12.001887,-77.083422,Robo,2024-07-26 15:24:29.291+00,1
1835,-12.079386,-77.057887,Homicidio,2023-12-14 15:24:29.291+00,2
1836,-12.064685,-77.023902,Robo,2024-02-06 15:24:29.291+00,2
1837,-12.031114,-77.011459,Robo,2023-12-24 15:24:29.291+00,5
1838,-12.090170,-77.084832,Robo,2024-05-03 15:24:29.291+00,1
1839,-12.047608,-77.078108,Agresión Sexual,2024-08-17 15:24:29.291+00,7
1840,-12.013797,-77.049431,Robo,2024-03-30 15:24:29.291+00,5
1841,-12.095139,-77.006232,Secuestro,2024-05-22 15:24:29.291+00,10
1842,-12.030167,-77.057431,Homicidio,2023-11-23 15:24:29.291+00,4
1843,-12.063987,-77.056204,Robo,2024-04-03 15:24:29.291+00,7
1844,-12.048910,-77.093523,Robo,2024-06-16 15:24:29.291+00,5
1845,-12.089136,-77.026922,Robo,2023-09-30 15:24:29.291+00,3
1846,-12.081951,-77.018044,Robo,2023-10-19 15:24:29.291+00,4
1847,-12.067538,-77.043496,Asalto,2024-08-08 15:24:29.291+00,9
1848,-12.024852,-77.046990,Robo,2024-06-21 15:24:29.291+00,4
1849,-12.019465,-77.009263,Robo,2023-12-26 15:24:29.291+00,10
1850,-12.040024,-77.074373,Homicidio,2024-08-11 15:24:29.291+00,4
1851,-12.025041,-77.065363,Robo,2024-07-23 15:24:29.291+00,10
1852,-12.035219,-77.083154,Asalto,2024-09-11 15:24:29.291+00,3
1853,-12.051497,-77.041573,Robo,2023-10-27 15:24:29.291+00,8
1854,-12.087547,-77.083067,Agresión Sexual,2024-07-07 15:24:29.291+00,10
1855,-12.046834,-77.042231,Robo,2024-03-15 15:24:29.291+00,1
1856,-12.098011,-77.092320,Robo,2024-04-25 15:24:29.291+00,1
1857,-12.052771,-77.099810,Robo,2024-06-03 15:24:29.291+00,2
1858,-12.016256,-77.019773,Robo,2024-05-29 15:24:29.291+00,7
1859,-12.057543,-77.003083,Homicidio,2023-12-19 15:24:29.291+00,5
1860,-12.001521,-77.000614,Robo,2024-06-13 15:24:29.291+00,7
1861,-12.096892,-77.091286,Robo,2023-10-18 15:24:29.291+00,6
1862,-12.035157,-77.079085,Homicidio,2024-07-28 15:24:29.291+00,8
1863,-12.035520,-77.019630,Robo,2024-03-10 15:24:29.291+00,8
1864,-12.012110,-77.079478,Asalto,2024-08-09 15:24:29.291+00,2
1865,-12.075110,-77.048837,Robo,2024-01-03 15:24:29.291+00,5
1866,-12.086845,-77.060591,Secuestro,2023-10-15 15:24:29.291+00,1
1867,-12.018916,-77.091635,Robo,2024-07-21 15:24:29.291+00,3
1868,-12.064129,-77.003225,Asalto,2024-02-02 15:24:29.291+00,2
1869,-12.000803,-77.028050,Robo,2024-02-16 15:24:29.291+00,9
1870,-12.033222,-77.017677,Secuestro,2024-06-06 15:24:29.291+00,5
1871,-12.032720,-77.022844,Homicidio,2024-07-12 15:24:29.291+00,10
1872,-12.092789,-77.067852,Robo,2024-07-12 15:24:29.291+00,1
1873,-12.062067,-77.073882,Asalto,2023-12-13 15:24:29.291+00,8
1874,-12.050200,-77.043675,Robo,2024-09-14 15:24:29.291+00,4
1875,-12.083172,-77.003280,Robo,2023-12-28 15:24:29.291+00,9
1876,-12.045119,-77.016778,Robo,2024-01-16 15:24:29.291+00,4
1877,-12.091579,-77.089881,Robo,2024-07-21 15:24:29.291+00,10
1878,-12.094382,-77.063572,Robo,2023-09-28 15:24:29.291+00,2
1879,-12.015341,-77.046064,Secuestro,2024-05-29 15:24:29.291+00,6
1880,-12.051057,-77.075450,Robo,2024-09-09 15:24:29.291+00,3
1881,-12.044614,-77.086112,Robo,2024-09-06 15:24:29.291+00,8
1882,-12.090602,-77.010912,Agresión Sexual,2024-06-30 15:24:29.291+00,8
1883,-12.022349,-77.015735,Secuestro,2024-05-11 15:24:29.291+00,9
1884,-12.027979,-77.080341,Robo,2024-04-11 15:24:29.291+00,6
1885,-12.002016,-77.046102,Agresión Sexual,2024-06-09 15:24:29.291+00,8
1886,-12.011650,-77.045611,Robo,2023-10-18 15:24:29.291+00,10
1887,-12.056828,-77.041057,Secuestro,2024-07-03 15:24:29.291+00,2
1888,-12.095753,-77.005862,Robo,2024-08-18 15:24:29.291+00,4
